First Name,Last Name,Email,Grade,Subteam,Event ID
Andrew,Wang,andrew@gmail.com,12,Finance ,BFS 
Charlotte,Green,green@gmail.com,11,,
Daniel,Green,daniel@gmail.com,9,Principles,PHT
Henry,Li,henry@gmail.com,9,Principles ,PMK 
Hugh,Jiang,hughjiang2003@gmail.com,12,Finance ,FTDM 
Jayson,Chen,chen@mail.com,9, , 
John,Smithens,john@stopthesteal.com,10,,
Mike,Fang,mike.fang@gmail.com,12,,
Patrick,Gall,gallpatrick@outlook.com,10,Writtens,PSE
Richard,Kolo,richardkolo@gmail.com,11,Hospitality & Tourism ,HLTDM 
Sean,Dean,shawn@gmail.com,11,Business Administration ,HRM 
Anthony ,Travis,anthony.travis@gmail.com,9,Principles,PBM
Stuart,Fowler,s.fowler@randatmail.com,11,,
Albert,Barrett,a.barrett@randatmail.com,9,Principles,PHT
Ellia,Harris,e.harris@randatmail.com,12,Writtens,PSE
Richard,Stewart,r.stewart@randatmail.com,12,Finance,ACT
Dale,Chapman,d.chapman@randatmail.com,11,Finance,BFS
Jared,Robinson,j.robinson@randatmail.com,9,Finance,PFL
Catherine,Clark,c.clark@randatmail.com,11,Finance,FTDM
Carl,Stewart,c.stewart@randatmail.com,12,Finance,FTDM
Byron,Anderson,b.anderson@randatmail.com,11,Business Administration ,ENT
Miller,Spencer,m.spencer@randatmail.com,9,Principles,PFN
Dainton,Wright,d.wright@randatmail.com,10,Business Administration ,BLTDM
Connie,Wright,c.wright@randatmail.com,12,Business Administration ,BLTDM
Ashton,Harris,a.harris@randatmail.com,9,Marketing,AAM
Lucy,Cameron,l.cameron@randatmail.com,12,Marketing,ASM
Stella,Johnston,s.johnston@randatmail.com,12,Marketing,BSM
Alisa,Warren,a.warren@randatmail.com,9,Marketing,SEM
Florrie,Morris,f.morris@randatmail.com,9,Writtens,PSE
Rafael,Hawkins,r.hawkins@randatmail.com,12,Marketing,BTDM
Chelsea,Nelson,c.nelson@randatmail.com,10,Marketing,BTDM
Myra,Parker,m.parker@randatmail.com,9,Marketing,STDM
Catherine,Alexander,c.alexander@randatmail.com,9,Marketing,STDM
Emma,Morgan,e.morgan@randatmail.com,10,Marketing,MTDM
Mary,Adams,m.adams@randatmail.com,11,Marketing,MTDM
Rubie,Smith,r.smith@randatmail.com,12,Hospitality & Tourism,TTDM
Elian,Campbell,e.campbell@randatmail.com,12,Hospitality & Tourism,TTDM
Tyler,Lloyd,t.lloyd@randatmail.com,12,Hospitality & Tourism,TTDM
Garry,Riley,g.riley@randatmail.com,9,Hospitality & Tourism,TTDM
Byron,Kelly,b.kelly@randatmail.com,12,Hospitality & Tourism,HLM
Adison,Hamilton,a.hamilton@randatmail.com,9,Hospitality & Tourism,HLM
Tyler,Campbell,t.campbell@randatmail.com,9,Principles,PBM
Eddy,Fowler,e.fowler@randatmail.com,10,Principles,PFN
Ted,Andrews,t.andrews@randatmail.com,9,Principles,PHT
Kevin,Sullivan,k.sullivan@randatmail.com,9,Principles,PMK
Edgar,Owens,e.owens@randatmail.com,11,,
Grace,Myers,g.myers@randatmail.com,10,,
Kelsey,Nelson,k.nelson@randatmail.com,10,Finance,PFL
Adison,Wilson,a.wilson@randatmail.com,11,Finance,FTDM
Aiden,Turner,a.turner@randatmail.com,11,Finance,FTDM
Frederick,Martin,f.martin@randatmail.com,12,Business Administration ,ENT
Chelsea,Brown,c.brown@randatmail.com,12,Business Administration ,HRM
Martin,Ross,m.ross@randatmail.com,10,Business Administration ,BLTDM
Melanie,Anderson,m.anderson@randatmail.com,11,Business Administration ,BLTDM
Jasmine,Richardson,j.richardson@randatmail.com,10,Marketing,AAM
Sydney,Hunt,s.hunt@randatmail.com,11,Marketing,ASM
Blake,Henderson,b.henderson@randatmail.com,9,Marketing,BSM
Frederick,Brooks,f.brooks@randatmail.com,12,Marketing,SEM
Arianna,Brown,a.brown@randatmail.com,12,Hospitality & Tourism,TTDM
Jared,Martin,j.martin@randatmail.com,11,Hospitality & Tourism,TTDM
John,Smith,johnsmith@gmail.com,9,,
Johnny,Appleseed,johnny.appleseed@yahoo.com,10,Finance,ACT
Johnathan,Zhan,z.johnathan@outlook.com,12,Finance,BFS
George,Johnston,gj.johnston33@gmail.com,9,,
Dyan,Oldroyd,doldroyd@aol.com,9,,
Roxane,Campain,roxane@hotmail.com,12,Finance,BFS
Lavera,Perin,lperin@perin.org,9,,
Erick,Ferencz,erick.ferencz@aol.com,11,,
Fatima,Saylors,fsaylors@saylors.org,9,Principles,PHT
Jina,Briddick,jina_briddick@briddick.com,11,,
Kanisha,Waycott,kanisha_waycott@yahoo.com,10,,
Emerson,Bowley,emerson.bowley@bowley.org,12,Hospitality & Tourism,HLM
Blair,Malet,bmalet@yahoo.com,10,Hospitality & Tourism,HLM
Brock,Bolognia,bbolognia@yahoo.com,10,Principles,PMK
Jack,Kennedy,jackkennedy20@gmail.com,10,Marketing ,SEM 
Jackie,Wang,jackie.wang@hotmail.com,10, , 
Jacklyn,Jones,jacklyn2003@gmail.com,12,Finance ,PFL 
Jacqueline,Johannes,johannes.jacq@yahoo.com,12,Writtens ,PSE 
